Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 33227016k(16222872k free), swap 44237064k(18807780k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:NewSize=104857600 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2022-08-16T18:21:15.389+0800: 3.034: [Full GC (Ergonomics) [PSYoungGen: 76790K->57415K(89600K)] [ParOldGen: 101680K->101699K(102400K)] 178471K->159114K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0414176 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
2022-08-16T18:21:15.435+0800: 3.080: [Full GC (Ergonomics) [PSYoungGen: 76397K->62512K(89600K)] [ParOldGen: 101699K->101722K(102400K)] 178097K->164235K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0391406 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2022-08-16T18:21:15.502+0800: 3.147: [Full GC (Ergonomics) [PSYoungGen: 76794K->58433K(89600K)] [ParOldGen: 101722K->101727K(102400K)] 178517K->160160K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0456415 secs] [Times: user=0.13 sys=0.00, real=0.05 secs] 
2022-08-16T18:21:15.552+0800: 3.197: [Full GC (Ergonomics) [PSYoungGen: 76310K->66622K(89600K)] [ParOldGen: 101727K->101730K(102400K)] 178037K->168352K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0434503 secs] [Times: user=0.11 sys=0.00, real=0.04 secs] 
2022-08-16T18:21:15.598+0800: 3.242: [Full GC (Ergonomics) [PSYoungGen: 76068K->74814K(89600K)] [ParOldGen: 101730K->101730K(102400K)] 177798K->176544K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0461141 secs] [Times: user=0.13 sys=0.00, real=0.05 secs] 
2022-08-16T18:21:15.645+0800: 3.290: [Full GC (Ergonomics) [PSYoungGen: 75838K->75838K(89600K)] [ParOldGen: 101730K->101730K(102400K)] 177568K->177568K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0081204 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2022-08-16T18:21:15.654+0800: 3.299: [Full GC (Allocation Failure) [PSYoungGen: 75838K->75838K(89600K)] [ParOldGen: 101730K->101670K(102400K)] 177568K->177508K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0451376 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
2022-08-16T18:21:15.701+0800: 3.346: [Full GC (Ergonomics) [PSYoungGen: 75870K->74814K(89600K)] [ParOldGen: 101670K->101670K(102400K)] 177540K->176484K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0642254 secs] [Times: user=0.16 sys=0.00, real=0.07 secs] 
2022-08-16T18:21:15.770+0800: 3.415: [Full GC (Ergonomics) [PSYoungGen: 75863K->75838K(89600K)] [ParOldGen: 101670K->101670K(102400K)] 177533K->177508K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0137845 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2022-08-16T18:21:15.785+0800: 3.429: [Full GC (Allocation Failure) [PSYoungGen: 75838K->75838K(89600K)] [ParOldGen: 101670K->101670K(102400K)] 177508K->177508K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0100644 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2022-08-16T18:21:15.801+0800: 3.446: [Full GC (Ergonomics) [PSYoungGen: 75874K->62522K(89600K)] [ParOldGen: 101670K->101665K(102400K)] 177544K->164187K(192000K), [Metaspace: 4515K->4515K(1056768K)], 0.0431220 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
2022-08-16T18:21:15.849+0800: 3.494: [Full GC (Ergonomics) [PSYoungGen: 76264K->9216K(89600K)] [ParOldGen: 101665K->101721K(102400K)] 177929K->110937K(192000K), [Metaspace: 4519K->4513K(1056768K)], 0.0302852 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
2022-08-16T18:21:15.908+0800: 3.553: [Full GC (Ergonomics) [PSYoungGen: 76080K->61485K(89600K)] [ParOldGen: 101721K->101673K(102400K)] 177801K->163158K(192000K), [Metaspace: 4520K->4520K(1056768K)], 0.0500012 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2022-08-16T18:21:15.984+0800: 3.629: [Full GC (Ergonomics) [PSYoungGen: 76692K->51302K(89600K)] [ParOldGen: 101673K->101677K(102400K)] 178365K->152980K(192000K), [Metaspace: 4520K->4520K(1056768K)], 0.0436065 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2022-08-16T18:21:16.035+0800: 3.680: [Full GC (Ergonomics) [PSYoungGen: 76779K->55404K(89600K)] [ParOldGen: 101677K->101679K(102400K)] 178456K->157084K(192000K), [Metaspace: 4520K->4520K(1056768K)], 0.0373689 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
2022-08-16T18:21:16.083+0800: 3.727: [Full GC (Ergonomics) [PSYoungGen: 76149K->60560K(89600K)] [ParOldGen: 101679K->101685K(102400K)] 177829K->162246K(192000K), [Metaspace: 4520K->4520K(1056768K)], 0.0337787 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
2022-08-16T18:21:16.122+0800: 3.767: [Full GC (Ergonomics) [PSYoungGen: 76673K->65674K(89600K)] [ParOldGen: 101685K->101710K(102400K)] 178359K->167384K(192000K), [Metaspace: 4520K->4520K(1056768K)], 0.0341744 secs] [Times: user=0.17 sys=0.00, real=0.03 secs] 
2022-08-16T18:21:16.161+0800: 3.806: [Full GC (Ergonomics) [PSYoungGen: 76742K->66687K(89600K)] [ParOldGen: 101710K->101738K(102400K)] 178453K->168426K(192000K), [Metaspace: 4520K->4520K(1056768K)], 0.0367817 secs] [Times: user=0.20 sys=0.02, real=0.04 secs] 
